anime_id,title,type,image_url,score,premiered,Comedy,Action,Fantasy,Adventure,Drama,Sci-Fi,Kids,Shounen,Romance,Slice of Life,School,Music,Supernatural,Hentai,Mecha,Historical,Magic,Seinen,Ecchi,Shoujo,Sports,Mystery,Parody,Super Power,Military,Space,Horror,Demons,Harem,Martial Arts,Dementia,Game,Psychological,Police,Samurai,Vampire
36272,Manichi ga Tsurai Kimochi Wakarimasu ka: Yurusenai! Net Ijime,OVA,https://cdn.myanimelist.net/images/anime/7/87610.jpg,10.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35085,Kyouiku Eiga-sai Jushou Anime Series,OVA,https://cdn.myanimelist.net/images/anime/5/84672.jpg,10.0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35174,Ittekimasu,OVA,https://cdn.myanimelist.net/images/anime/5/84786.jpg,10.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35161,Kuunyan no Koutsuu Anzen: Tadashii Jitensha no Nori Kata,OVA,https://cdn.myanimelist.net/images/anime/8/84773.jpg,10.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37405,Dokidoki Little Ooyasan,OVA,https://cdn.myanimelist.net/images/anime/1649/92439.jpg,9.52,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35021,Hashire John,OVA,https://cdn.myanimelist.net/images/anime/3/84550.jpg,9.5,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35130,Tat-chan - Momo-chan no Fushigina Taiken,OVA,https://cdn.myanimelist.net/images/anime/10/84726.jpg,9.5,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5114,Fullmetal Alchemist: Brotherhood,TV,https://cdn.myanimelist.net/images/anime/5/47421.jpg,9.25,Spring 2009,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26145,Okaachan Gomen ne,Movie,https://cdn.myanimelist.net/images/anime/12/66035.jpg,9.2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32281,Kimi no Na wa.,Movie,https://cdn.myanimelist.net/images/anime/5/87048.jpg,9.19,,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28977,Gintama°,TV,https://cdn.myanimelist.net/images/anime/3/72078.jpg,9.15,Spring 2015,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30484,Steins;Gate 0,TV,https://cdn.myanimelist.net/images/anime/1031/90444.jpg,9.15,Spring 2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
